"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"de.schwetschke.benchmark.MultiMap.frequencyComputeHashMap","thrpt",1,3,"605920,413838","212754,528549","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyComputeTreeMap","thrpt",1,3,"282778,661640","101787,451869","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeHashMap","thrpt",1,3,"1039503,611061","35695,777700","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeTreeMap","thrpt",1,3,"520809,392333","80846,808284","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamHashMap","thrpt",1,3,"406967,821715","39830,547031","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamTreeMap","thrpt",1,3,"305354,540931","60979,904293","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapArrayList","thrpt",1,3,"611530,450570","276883,409690","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapHashSet","thrpt",1,3,"493016,759758","163012,538368","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapLinkedList","thrpt",1,3,"785017,347314","22004,201332","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeTreeMapTreeSet","thrpt",1,3,"352666,717328","172485,380937","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapArrayList","thrpt",1,3,"210831,013452","26269,193639","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapHashSet","thrpt",1,3,"125762,187199","17431,101549","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapLinkedList","thrpt",1,3,"281948,706366","38623,737803","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeTreeMapTreeSet","thrpt",1,3,"134222,031068","93365,715584","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapArrayList","thrpt",1,3,"403394,463154","41214,292370","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapHashSet","thrpt",1,3,"373990,276844","106172,048831","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamTreeMapTreeSet","thrpt",1,3,"228443,057056","200492,391793","ops/s"
"de.schwetschke.benchmark.MultiMap.wellHelloThere","thrpt",1,3,"1606129958,611391","112448514,372323","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immuatebleFrequency","thrpt",1,3,"157584,196949","35762,280696","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immutablePositions","thrpt",1,3,"160109,341359","21659,343204","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutableFrequency","thrpt",1,3,"188409,252254","10724,262009","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsPatternMatching","thrpt",1,3,"156974,506863","106533,486367","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsTupleAccess","thrpt",1,3,"163370,133872","5215,539283","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListAnonymousClass","thrpt",1,3,"142964,072752","5838,927929","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListSingleton","thrpt",1,3,"218272,711388","135286,885585","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetAnonymousClass","thrpt",1,3,"98724,858094","8547,630162","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetSingleton","thrpt",1,3,"132238,830880","33262,781515","ops/s"
