"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"de.schwetschke.benchmark.MultiMap.frequencyComputeHashMap","thrpt",1,3,"915373,485421","542311,090033","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyComputeTreeMap","thrpt",1,3,"462488,555068","26663,144059","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeHashMap","thrpt",1,3,"1234668,858830","61634,165584","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeTreeMap","thrpt",1,3,"646679,420987","331659,990368","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamHashMap","thrpt",1,3,"634188,468536","39148,586504","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamTreeMap","thrpt",1,3,"646396,256140","55041,700116","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapArrayList","thrpt",1,3,"683108,899688","81044,499776","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapHashSet","thrpt",1,3,"526592,651317","103209,049474","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapLinkedList","thrpt",1,3,"924733,551468","433257,547374","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeTreeMapTreeSet","thrpt",1,3,"457274,631856","29143,787462","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapArrayList","thrpt",1,3,"295632,117476","24666,716018","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapHashSet","thrpt",1,3,"163558,532013","7559,634807","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapLinkedList","thrpt",1,3,"418992,736465","30820,515782","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeTreeMapTreeSet","thrpt",1,3,"171803,626391","355127,811630","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapArrayList","thrpt",1,3,"562579,747255","594825,493696","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapHashSet","thrpt",1,3,"432218,301019","232679,997379","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamTreeMapTreeSet","thrpt",1,3,"465307,809609","65131,011980","ops/s"
"de.schwetschke.benchmark.MultiMap.wellHelloThere","thrpt",1,3,"3227497807,660519","251452995,017833","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immuatebleFrequency","thrpt",1,3,"382614,949650","26898,756229","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immutablePositions","thrpt",1,3,"318884,375099","20848,826684","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutableFrequency","thrpt",1,3,"373146,928072","8036,176530","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsPatternMatching","thrpt",1,3,"409355,546819","33808,296536","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsTupleAccess","thrpt",1,3,"404563,785866","198387,573977","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListAnonymousClass","thrpt",1,3,"234403,484981","17158,648598","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListSingleton","thrpt",1,3,"273691,390252","157263,698773","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetAnonymousClass","thrpt",1,3,"109451,584308","23359,635605","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetSingleton","thrpt",1,3,"165742,319237","16482,694072","ops/s"
