"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"de.schwetschke.benchmark.MultiMap.frequencyComputeHashMap","thrpt",1,3,"624367,013679","81172,402223","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyComputeTreeMap","thrpt",1,3,"440029,692007","118642,179857","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeHashMap","thrpt",1,3,"859918,954832","97762,105849","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeTreeMap","thrpt",1,3,"644484,338095","238624,761981","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamHashMap","thrpt",1,3,"672907,747360","220456,992048","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamTreeMap","thrpt",1,3,"659379,491311","42069,599892","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapArrayList","thrpt",1,3,"651963,591332","100655,440042","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapHashSet","thrpt",1,3,"439768,695368","87390,584018","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapLinkedList","thrpt",1,3,"744565,456201","41563,313585","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeTreeMapTreeSet","thrpt",1,3,"405605,133585","217521,777838","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapArrayList","thrpt",1,3,"170041,265976","6955,129542","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapHashSet","thrpt",1,3,"137020,181104","57025,396307","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapLinkedList","thrpt",1,3,"335522,904239","14550,503400","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeTreeMapTreeSet","thrpt",1,3,"145684,632444","77609,762521","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapArrayList","thrpt",1,3,"502201,504525","21114,460587","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapHashSet","thrpt",1,3,"339592,449990","132190,377112","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamTreeMapTreeSet","thrpt",1,3,"382669,673160","44614,647599","ops/s"
"de.schwetschke.benchmark.MultiMap.wellHelloThere","thrpt",1,3,"2110754524,938771","739821101,885831","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immuatebleFrequency","thrpt",1,3,"147561,138358","26692,383324","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immutablePositions","thrpt",1,3,"143582,124330","127142,705937","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutableFrequency","thrpt",1,3,"148605,903418","56564,070781","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsPatternMatching","thrpt",1,3,"257792,623384","40208,425589","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsTupleAccess","thrpt",1,3,"262726,201448","148263,585707","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListAnonymousClass","thrpt",1,3,"130294,842124","20177,154802","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListSingleton","thrpt",1,3,"169560,156556","20392,887288","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetAnonymousClass","thrpt",1,3,"91075,087574","13191,161551","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetSingleton","thrpt",1,3,"141241,948743","9669,264147","ops/s"
