"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"de.schwetschke.benchmark.MultiMap.frequencyComputeHashMap","thrpt",1,3,"1260747,066355","63942,242301","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyComputeTreeMap","thrpt",1,3,"493519,752634","176937,499973","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeHashMap","thrpt",1,3,"1011178,311829","51804,084165","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeTreeMap","thrpt",1,3,"794659,946433","236961,507162","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamHashMap","thrpt",1,3,"809721,223800","92158,530867","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamTreeMap","thrpt",1,3,"641353,179709","258762,976789","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapArrayList","thrpt",1,3,"713937,297876","19043,163960","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapHashSet","thrpt",1,3,"533368,615745","239118,843432","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapLinkedList","thrpt",1,3,"985818,788249","113597,430977","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeTreeMapTreeSet","thrpt",1,3,"544027,009097","44516,046422","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapArrayList","thrpt",1,3,"342944,626386","119955,566986","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapHashSet","thrpt",1,3,"173433,975384","15266,855142","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapLinkedList","thrpt",1,3,"371880,605946","41217,953993","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeTreeMapTreeSet","thrpt",1,3,"166068,725910","9947,526133","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapArrayList","thrpt",1,3,"694438,391550","28380,971516","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapHashSet","thrpt",1,3,"455731,984576","19242,475057","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamTreeMapTreeSet","thrpt",1,3,"442802,733286","46893,733508","ops/s"
"de.schwetschke.benchmark.MultiMap.wellHelloThere","thrpt",1,3,"3210664492,797495","423193330,155994","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immuatebleFrequency","thrpt",1,3,"245826,654163","24255,871823","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immutablePositions","thrpt",1,3,"219828,553679","53434,998387","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutableFrequency","thrpt",1,3,"219881,505430","29323,004204","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsPatternMatching","thrpt",1,3,"268405,172826","158082,973873","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsTupleAccess","thrpt",1,3,"327903,259840","153155,900388","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListAnonymousClass","thrpt",1,3,"276414,250556","7909,465009","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListSingleton","thrpt",1,3,"351008,692646","95513,077662","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetAnonymousClass","thrpt",1,3,"128556,537815","4793,619410","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetSingleton","thrpt",1,3,"172907,102962","13572,722497","ops/s"
